Store Name,Street Number,Street Name,Addl Address,City,State,Zip,County Name
125th Street Farmers' Market - Harvest Home,163,West 125th Street,,New York,NY,10027,NEW YORK
14 & U Farmers Market,2000,14th St NW,,Washington,DC,20009,DIST OF COLUMBIA
14th St Market,3333,14th St Nw,,Washington,DC,20010,DIST OF COLUMBIA
16th Avenue Farmers Market,1600s,NE 16th Ave,,Portland,OR,97232,MULTNOMAH
1st Hill Farmers Market,900,E Seneca St,,Seattle,WA,98122,KING
25th Ave. Certified Farmers' Market,194,W 25th Ave,,San Mateo,CA,94403,SAN MATEO
29 Palms Certified Farmers Market,73551,Twentynine Palms Hwy,,Twentynine Palms,CA,92277,SAN BERNARDINO
3  Sisters Garden,3814,Monica Ct,,Indianapolis,IN,46226,MARION
32nd Street Farmers Market,400,E 32nd St,,Baltimore,MD,21218,BALTIMORE CITY
38th & Meridian Farmer's Market,3808,N Meridian St,,Indianapolis,IN,46208,MARION
3rd Day Farm FARMERS MARKET,3234,S Lachance Rd,,Lake City,MI,49651,MISSAUKEE
5 Points Farmers Market,750,S Stone Ave,,Tucson,AZ,85701,PIMA
9th West Farmers Market,1060,S 900 W,,Salt Lake City,UT,84104,SALT LAKE
A Market For Alex,451,E Hill St,,Thomson,GA,30824,MCDUFFIE
A Mustard Seed Community Market Place,200,S Pine St,,Dixon,MO,65459,PULASKI
A Red Circle,351,Chambers Rd,,Saint Louis,MO,63137,ST LOUIS
A Simpler Place Farmers Market,9903,Carr Rd,,Riverview,FL,33569,HILLSBOROUGH
A&m Produce,5935,State Highway 2,,Olive Hill,KY,41164,CARTER
A. L. Farmers Market,,N. Broadway,Parking Lot,Albert Lea,MN,56007,FREEBORN
AAFM at Elon Community Church,271,N Williamson Ave,,Elon,NC,27244,ALAMANCE
ABC Produce Market,5530,Stonewall Tell Rd,,Atlanta,GA,30349,FULTON
Aberdeen Sunday Market,000,Broadway,Between Heron & State St,Aberdeen,WA,98520,GRAYS HARBOR
Abingdon Farmers Market,100,Remsburg Dr.,,Abingdon,VA,24210,WASHINGTON
Abiquiu Farmers Market,2,County Road 187,,Abiquiu,NM,87510,RIO ARRIBA
Abraham Lincoln Memorial Hospital Farmers Market,1408,Short 11th St,,Lincoln,IL,62656,LOGAN
Acres Homes Farmers Market,2500,S Victory Dr,,Houston,TX,77088,HARRIS
Acton Boxborough Farmers Market,19,Elm St,,Acton,MA,01720,MIDDLESEX
Adams County Farmer's Market,110,W Main St,,West Union,OH,45693,ADAMS
Adams County Farmers' Market Association,108,N Stratton St,,Gettysburg,PA,17325,ADAMS
ADAMS/VERMONT CERT FARMERS MARKET,1432,W Adams Blvd,,Los Angeles,CA,90007,LOS ANGELES
Adrian City Market,115,Toledo St,,Adrian,MI,49221,LENAWEE
Adrienne Arsht Center Farmers Market,1300,Biscayne Blvd,,Miami,FL,33132,MIAMI DADE
Adventist Health White Memorial Farmers' Market,1720,E Cesar E Chavez Ave,,Los Angeles,CA,90033,LOS ANGELES
Adventist White Memorial Farmers Market,1700,E Cesar E Chavez Ave,,Los Angeles,CA,90033,LOS ANGELES
Advocates for Healthy Living Inc,142,E Bonita Ave,136,San Dimas,CA,91773,LOS ANGELES
Aggressively Fresh Fishers Market,9160,Ford Cir,,Fishers,IN,46038,HAMILTON
Agricenter Farmers Market,7777,Walnut Grove,,Memphis,TN,38120,SHELBY
Agricultural Institute of Marin Farmers Market,,Civic Center Dr & PeterBeahr Dr,,San Rafael,CA,94903,MARIN
Agrihood Baltimore,3811,Park Heights Ave,,Baltimore,MD,21215,BALTIMORE CITY
Agrobliss Farms,5333,Lowell Larimer Rd,,Everett,WA,98208,SNOHOMISH
Ahk Farmstand,3000,Kilauea Rd,,Kilauea,HI,96754,KAUAI
Aitkin Farmers Market,300,Minnesota Ave N,,Aitkin,MN,56431,AITKIN
Alachua County Farmers Market,5920,NW 13th St,,Gainesville,FL,32653,ALACHUA
Alameda Farmers' Market,706,Haight Ave,,Alameda,CA,94501,ALAMEDA
Alamogordo Farmers’ Market,1503,White Sands Blvd,,Alamogordo,NM,88310,OTERO
Alamosa Farmers Market,6th,Street And State Ave,Corner Of These Streets,Alamosa,CO,81101,ALAMOSA
Albany Farmers Market,,4th and Ellsworth,,Albany,OR,97321,LINN
"Albany In Farmers Market, Llc",208,E State St,,Albany,IN,47320,DELAWARE
Albion Farmers Market,211,Market Pl,,Albion,MI,49224,CALHOUN
Alderson Community Market,507,Riverview Ave. E,,Alderson,WV,24910,GREENBRIER
ALEMANY FARMERS MARKET,100,Alemany Blvd,,San Francisco,CA,94110,SAN FRANCISCO
Alexandria Farmers And Artists Market,503,South Park Ave,,Alexandria,IN,46001,MADISON
Alexandria Farmers Market,,Broadway & 2nd Avenue,,Alexandria,MN,56308,DOUGLAS
Alexandria Old Town Farmers' Market,301,King St,,Alexandria,VA,22314,ALEXANDRIA
ALFRED FARMERS MARKET,3,S MAIN ST,VILLAGE BAND,ALFRED,NY,14802,ALLEGANY
Alisal Farmers Market,632,E Alisal St,,Salinas,CA,93905,MONTEREY
All Farmers,334,Birnie Ave,,West Springfield,MA,01089,HAMPDEN
Allegan Farmers Market,,Water Street,Water And Cutler Street Parking Lot,Allegan,MI,49010,ALLEGAN
Allen County Farmers Market,,N Jefferson,N State St,Iola,KS,66749,ALLEN
ALLEN NEIGHBORHOOD CENTER,1611,E Kalamazoo St,,Lansing,MI,48912,INGHAM
Alliance Farmers Market,1151,Park Ave,,Bridgeport,CT,06604,FAIRFIELD
Allison Hill Farmers Market,1427,Derry St,,Harrisburg,PA,17104,DAUPHIN
Aloha Community Farmers' Market,17675,SW Farmington Rd,,Beaverton,OR,97007,WASHINGTON
Alpena Farmers Market,1305 1/2,S State Ave,,Alpena,MI,49707,ALPENA
Altadena Farmers Market,600,W Palm St,,Altadena,CA,91001,LOS ANGELES
Alton Farmers & Artisans Farmers Market/Alton Main,501,Landmarks Blvd,,Alton,IL,62002,MADISON
Altoona Farmers Market,1400,11th Ave,,Altoona,PA,16601,BLAIR
Alturas Farmers Market,108,S Main St,,Alturas,CA,96101,MODOC
Alum Rock Farmers' Market,57,N White Rd,,San Jose,CA,95127,SANTA CLARA
Amherst Winter Farmers Market,367,Russell St,Hampshire Mall,Hadley,MA,01035,HAMPSHIRE
Anacortes Farmers Market,611,R Ave,,Anacortes,WA,98221,SKAGIT
Anacostia Ave,640,Anacostia Ave NE,,Washington,DC,20019,DIST OF COLUMBIA
ANAHEIM CERTIFIED FARMERS MARKET,,CENTER STREET PROMENADE & LEMON,,ANAHEIM,CA,92805,ORANGE
Anaina Hou Community Park,5-2723,Kuhio Hwy,,Kilauea,HI,96754,KAUAI
Anchorage Farmers Market,1420,Cordova St,,Anchorage,AK,99501,ANCHORAGE
Anderson County Farmers Market,402,N Murray Ave,,Anderson,SC,29625,ANDERSON
Anderson Farmers Market,1699,Hwy 273,Shasta Outlets,Anderson,CA,96007,SHASTA
Andersonville Farmers Market,1500,W Catalpa Avenue,,Chicago,IL,60640,COOK
Andover Farmer's Market,359,Route 6,,Andover,CT,06232,TOLLAND
Andover Farmers Market,41,Central St,,Andover,MA,01810,ESSEX
Angela Camille Enterprise Premium Cattle Co Llc,1503,10th Ave,,Albany,GA,31707,DOUGHERTY
Angelica Farmers Market,49,Park Cir,,Angelica,NY,14709,ALLEGANY
Ann Arbor Farmers Market,315,Detroit St,,Ann Arbor,MI,48104,WASHTENAW
Annandale Farmers Market,6621,Columbia Pike,,Annandale,VA,22003,FAIRFAX
Annandale Farmers Mk-Annandale Area Community Team,30,Cedar St E,,Annandale,MN,55302,WRIGHT
AntFarm,39140,Proctor Blvd,,Sandy,OR,97055,CLACKAMAS
Antlers Market,600,E Main St,,Antlers,OK,74523,PUSHMATAHA
Apalachicola Farmers Market,479,Market St,,Apalachicola,FL,32320,FRANKLIN
Applegate Evening Market,8035,Highway 238,,Jacksonville,OR,97530,JACKSON
Apsaalooke Community Market,1,Frontage Road,,Crow Agency,MT,59022,BIG HORN
Aquidneck Growers Market,11,Dexter St,,Newport,RI,02840,NEWPORT
Arbol Farmers Market,41679,O Rd,,Paonia,CO,81428,DELTA
Arcadia Center,1800,Perry St NE,,Washington,DC,20018,DIST OF COLUMBIA
